name,st_stusps,lon,lat,population,pop,death_cause,deaths_dod,confirmed,confirmed_per_100k,deaths_covid,deaths_per_100k,crude_rate,rin_flag
Cumberland,IL,-88.2401852333458,39.2733418663309,54305,10766,Suicide,0,1121,10412.4094371169,27,250.789522571057,0.0,0
Fergus,MT,-109.224460142427,47.2635810003755,56686,11050,Suicide,10,974,8814.47963800905,19,171.94570135746602,17.6410401157252,0
Flathead,MT,-114.049669787295,48.2951464007917,491277,103806,Suicide,117,9974,9608.30780494384,60,57.8001271602798,23.815484950445498,0
Lee,AL,-85.3554785879014,32.6011356475738,795784,164542,Suicide,97,13466,8183.928723365459,112,68.06772738875179,12.189237280468099,0
Marion,AL,-87.8871352489868,34.1365555224848,150033,29709,Suicide,30,2565,8633.74734928809,67,225.520885926824,19.9956009677871,0
Dillingham,AK,-158.235089542984,59.799066542213794,24871,4916,Suicide,0,165,3356.38730675346,1,20.3417412530513,0.0,0
Perry,AL,-87.294401440795,32.6384691940047,47531,8923,Suicide,0,1008,11296.649109044,19,212.93287011094898,0.0,0
Natrona,WY,-106.798499980697,42.96206493757,403503,79858,Suicide,117,7437,9312.78018482807,117,146.51005534824301,28.9960669437402,0
Drew,AR,-91.72001113881392,33.5894537993547,92926,18219,Suicide,16,1816,9967.61622482024,31,170.152039080081,17.218001420485102,0
Fulton,AR,-91.81822518817471,36.3816574045126,60776,12477,Suicide,19,1022,8191.071571691909,42,336.61937965857203,31.2623403975253,0
Madison,AR,-93.7245511825984,36.0109524445623,80399,16576,Suicide,18,1309,7896.959459459459,17,102.557915057915,22.38833816341,0
Ouachita,AR,-92.88194022525771,33.5933528683997,120758,23382,Suicide,20,1907,8155.84637755538,44,188.17894106577702,16.5620497192733,0
Saline,AR,-92.6765232282382,34.6465951571083,592626,122437,Suicide,107,10111,8258.12458652205,145,118.42825289740802,18.055232136288303,0
Boone,IN,-86.4687062546387,40.050799339334795,322786,67843,Suicide,53,5596,8248.45599398611,68,100.23141665315501,16.4195473161785,0
Nevada,CA,-120.76845107342899,39.3013630597534,496387,99755,Suicide,109,3409,3417.3725627788103,73,73.1792892586838,21.9586733737991,0
Lake,CA,-122.75318988686399,39.099617207452795,321519,64386,Suicide,99,2748,4268.00857329233,32,49.700245394961605,30.791337370419804,0
San Bernardino,CA,-116.17840998570601,34.8413992123872,10709855,2180085,Suicide,1102,269297,12352.5917567434,1746,80.0886203978285,10.2895884211318,0
San Luis Obispo,CA,-120.40451599116699,35.38708293547379,1410786,283111,Suicide,275,17124,6048.51100804985,161,56.8681541868737,19.4926799670538,0
Brown,IN,-86.22737678006371,39.1962315357848,75120,15092,Suicide,14,894,5923.668168566129,34,225.28491916247,18.636847710330102,0
Shasta,CA,-122.04049900154399,40.7637132681064,898929,180080,Suicide,234,10211,5670.257663260771,138,76.6326077298978,26.030976862466304,0
Chaffee,CO,-106.19412663972601,38.747012506082605,95744,20356,Suicide,29,1271,6243.859304381999,23,112.98879937119301,30.2891042780749,0
Costilla,CO,-105.428235383752,37.278124320397794,18477,3887,Suicide,0,177,4553.64033959352,2,51.4535631592488,0.0,0
Fulton,IN,-86.2635370243981,41.046977624865704,101105,19974,Suicide,15,1656,8290.77801141484,30,150.195253829979,14.8360615202018,0
Gunnison,CO,-107.031622389643,38.666765447185995,82385,17462,Suicide,33,1007,5766.807925781701,6,34.360325277746,40.055835406930896,0
Rush,KS,-99.30915300755579,38.5231279032049,15581,3036,Suicide,0,416,13702.2397891963,10,329.380764163373,0.0,0
Hamilton,IN,-86.05202734084591,40.0724795494646,1582526,338011,Suicide,177,29824,8823.38148758472,320,94.67147518867729,11.184650362774502,0
Alachua,FL,-82.3577136804271,29.6747497189042,1316740,269043,Suicide,176,20027,7443.791512880841,164,60.956798727341,13.3663441529839,0
Douglas,IL,-88.21737066595291,39.7694569403988,98569,19465,Suicide,17,2081,10690.9838171076,34,174.672489082969,17.246801732796303,0
Marion,FL,-82.056651510693,29.2102074787942,1745771,365579,Suicide,378,23828,6517.879856337479,572,156.464129504156,21.6523243884794,0
Emmet,IA,-94.678428603706,43.3779435436051,48102,9208,Suicide,0,1113,12087.3153779322,32,347.523892267593,0.0,0
Polk,FL,-81.69757667431371,27.948879800669605,3345371,724777,Suicide,484,48963,6755.59516927276,953,131.488719978697,14.4677526050175,0
Howard,IN,-86.1169593860795,40.483607532273204,412835,82544,Suicide,61,8375,10146.1038961039,151,182.932738902888,14.7758789831289,0
Huntington,IN,-85.4881305343736,40.8292196248035,182313,36520,Suicide,25,2984,8170.865279299009,61,167.031763417306,13.712680938824999,0
Bulloch,GA,-81.74318109731509,32.3968077007091,372905,79608,Suicide,36,5584,7014.37041503366,74,92.9554818611195,9.653933307410739,0
Catoosa,GA,-85.1382495470056,34.9036288999456,332039,67580,Suicide,55,4671,6911.808227286179,51,75.4661142349808,16.564319251654197,0
Crisp,GA,-83.76805458478229,31.922911533424397,113873,22372,Suicide,23,1743,7790.9887359199,51,227.96352583586602,20.1979398101394,0
Fayette,IA,-91.8443551800635,42.86261108661171,100110,19650,Suicide,18,1683,8564.88549618321,24,122.137404580153,17.9802217560683,0
Decatur,GA,-84.5790467928489,30.878348510707898,134507,26404,Suicide,28,2460,9316.7701863354,57,215.87638236630798,20.8167604659981,0
Piatt,IL,-88.59110643386009,40.0103400746847,82219,16344,Suicide,0,1201,7348.26235927558,18,110.132158590308,0.0,0
Hancock,IA,-93.73427031835381,43.0819016670685,54319,10630,Suicide,0,1333,12539.9811853246,24,225.776105362183,0.0,0
Lamar,GA,-84.139471242019,33.076535686244,92476,19077,Suicide,10,1670,8753.99695968968,40,209.67657388478298,10.8136165059042,0
Marion,GA,-84.52466882566891,32.3533932525845,42883,8359,Suicide,0,444,5311.6401483431,11,131.594688359852,0.0,0
Lowndes,GA,-83.2677296816495,30.833813483294502,572826,117406,Suicide,64,10496,8939.91789176022,160,136.279236154881,11.1726772178637,0
Peach,GA,-83.8268902273019,32.5687554982078,134693,27546,Suicide,29,2087,7576.417628693821,36,130.69048137660602,21.5304433044033,0
Monroe,GA,-83.9186575488999,33.0139241501941,136093,27578,Suicide,26,2084,7556.748132569441,81,293.712379432881,19.10458289552,0
Ida,IA,-95.5134974299888,42.3868984361704,34761,6860,Suicide,0,769,11209.9125364431,30,437.31778425656,0.0,0
Randolph,GA,-84.7541886427644,31.7626551482215,35591,6778,Suicide,0,538,7937.4446739451205,31,457.36205370315696,0.0,0
Stephens,GA,-83.2934723770301,34.5539419953473,128742,25925,Suicide,28,2708,10445.5159112825,65,250.723240115718,21.748924204999103,0
Quitman,GA,-85.0187700258186,31.8673473854422,11589,2299,Suicide,0,139,6046.1070030448,1,43.49717268377561,0.0,0
Seminole,GA,-84.8688388087684,30.9387856580605,42408,8090,Suicide,0,843,10420.2719406675,15,185.414091470952,0.0,0
Benewah,ID,-116.658708923187,47.2175525806586,45672,9298,Suicide,16,531,5710.90557109056,6,64.53000645300071,35.0324049746015,0
Lemhi,ID,-113.933252015092,44.943255746130106,39020,8027,Suicide,15,475,5917.52834184627,9,112.121589634982,38.441824705279295,0
Vigo,IN,-87.3899739641556,39.430635579112206,538904,107038,Suicide,124,10854,10140.323997085101,185,172.83581531792402,23.0096640589047,0
Johnson,IL,-88.8809256935379,37.4596293153025,63621,12417,Suicide,0,1275,10268.180719980699,15,120.80212611741999,0.0,0
Cook,IL,-87.8168306216394,41.8401263310975,26079927,5150233,Suicide,2235,447741,8693.6066776008,9301,180.59377119442902,8.56980926365323,0
Black Hawk,IA,-92.3088245736953,42.470090686167104,664312,131228,Suicide,91,14232,10845.2464413083,243,185.17389581491798,13.6983826876528,0
Crawford,IL,-87.7595614069562,39.002697112888,95883,18667,Suicide,11,1859,9958.750736593991,37,198.210746236674,11.472315217504699,0
Hamilton,IL,-88.53910015803609,38.0815403099864,40914,8116,Suicide,0,734,9043.8639724002,17,209.462789551503,0.0,0
Macon,IL,-88.96155997907879,39.8599898924161,532716,104009,Suicide,67,9034,8685.78680691094,183,175.946312338355,12.577057944570802,0
Steuben,IN,-85.0008591587815,41.643891927076,171866,34594,Suicide,23,3165,9148.9853731861,46,132.971035439672,13.3825189391735,0
Clinton,IN,-86.4751427504859,40.3016951799556,162409,32399,Suicide,33,3767,11626.9020648785,45,138.8931757153,20.3190709874453,0
Cedar,IA,-91.13243116629921,41.7723204389714,92375,18627,Suicide,0,1570,8428.62511408171,19,102.00246953347299,0.0,0
Franklin,IN,-85.06014333272971,39.4148684789033,113876,22758,Suicide,20,1512,6643.817558660689,33,145.003954653309,17.562963223155002,0
Hendricks,IN,-86.50997023079219,39.769519904503206,805552,170311,Suicide,131,14607,8576.66269354299,252,147.964605926804,16.2621407432419,0
Chickasaw,IA,-92.3176755032889,43.06005147558821,60353,11933,Suicide,0,1141,9561.719601106179,12,100.56146819743601,0.0,0
Sullivan,IN,-87.4147196713253,39.0888421278649,104216,20669,Suicide,20,1940,9386.037060331899,33,159.659393294305,19.190911184463,0
Adams,IA,-94.6991658587059,41.0289752249555,18695,3602,Suicide,0,302,8384.23098278734,3,83.28706274292058,0.0,0
Benton,IA,-92.0657429665189,42.080186455685,128321,25645,Suicide,21,2152,8391.49931760577,50,194.96977968414902,16.3652091239937,0
Hamilton,IA,-93.70679229400999,42.383750696785,75450,14773,Suicide,0,1631,11040.4115616327,30,203.07317403371002,0.0,0
Story,IA,-93.46503839186241,42.036231175964296,482791,97117,Suicide,41,8904,9168.32274473058,38,39.1280620282752,8.49228755299912,0
Webster,IA,-94.1817767012923,42.4279448953306,183677,35904,Suicide,34,4756,13246.434937611399,77,214.46078431372501,18.5107552932594,0
Stevens,KS,-101.312058953435,37.192339489887,28362,5485,Suicide,0,525,9571.55879671832,7,127.620783956244,0.0,0
Ravalli,MT,-114.120745718802,46.081692128388006,210226,43806,Suicide,69,2427,5540.33694014519,27,61.635392411998396,32.821820326696,0
Rapides,LA,-92.53318687121849,31.1986299792903,659263,129648,Suicide,120,10564,8148.2167098605505,248,191.287177588547,18.2021439091834,0
Terrebonne,LA,-90.86634415382021,29.4147747072717,563627,110461,Suicide,78,8381,7587.293252822259,174,157.521659228144,13.838939582383402,0
Alger,MI,-86.6039654162968,46.4086402669014,46279,9108,Suicide,0,420,4611.330698287221,3,32.938076416337296,0.0,0
Chippewa,MI,-84.57768765058151,46.30527017878921,189306,37349,Suicide,38,1691,4527.56432568476,22,58.9038528474658,20.073320444148603,0
Rankin,MS,-89.94579288159099,32.2641302672612,753319,155271,Suicide,115,11397,7340.06994223004,225,144.907935158529,15.2657771807163,0
Keweenaw,MI,-88.4345569891367,47.6279124272966,10802,2116,Suicide,0,129,6096.408317580339,2,94.5179584120983,0.0,0
Clay,MN,-96.4906495543342,46.8923504735571,314009,64222,Suicide,39,6619,10306.437046495,84,130.796300333219,12.4200261775936,0
Cass,MN,-94.3253716094447,46.9495938029736,145132,29779,Suicide,32,2112,7092.24621377481,24,80.59370697471371,22.0488934211614,0
Grant,MN,-96.01217476386009,45.9340511509819,29777,5972,Suicide,0,441,7384.46081714668,8,133.958472873409,0.0,0
