date,price
Jan-00,1394.46
Feb-00,1366.42
Mar-00,1498.58
Apr-00,1452.43
May-00,1420.6
Jun-00,1454.6
Jul-00,1430.83
Aug-00,1517.68
Sep-00,1436.51
Oct-00,1429.4
Nov-00,1314.95
Dec-00,1320.28
Jan-01,1366.01
Feb-01,1239.94
Mar-01,1160.33
Apr-01,1249.46
May-01,1255.82
Jun-01,1224.38
Jul-01,1211.23
Aug-01,1133.58
Sep-01,1040.94
Oct-01,1059.78
Nov-01,1139.45
Dec-01,1148.08
Jan-02,1130.2
Feb-02,1106.73
Mar-02,1147.39
Apr-02,1076.92
May-02,1067.14
Jun-02,989.82
Jul-02,911.62
Aug-02,916.07
Sep-02,815.28
Oct-02,885.76
Nov-02,936.31
Dec-02,879.82
Jan-03,855.7
Feb-03,841.15
Mar-03,848.18
Apr-03,916.92
May-03,963.59
Jun-03,974.5
Jul-03,990.31
Aug-03,1008.01
Sep-03,995.97
Oct-03,1050.71
Nov-03,1058.2
Dec-03,1111.92
Jan-04,1131.13
Feb-04,1144.94
Mar-04,1126.21
Apr-04,1107.3
May-04,1120.68
Jun-04,1140.84
Jul-04,1101.72
Aug-04,1104.24
Sep-04,1114.58
Oct-04,1130.2
Nov-04,1173.82
Dec-04,1211.92
Jan-05,1181.27
Feb-05,1203.6
Mar-05,1180.59
Apr-05,1156.85
May-05,1191.5
Jun-05,1191.33
Jul-05,1234.18
Aug-05,1220.33
Sep-05,1228.81
Oct-05,1207.01
Nov-05,1249.48
Dec-05,1248.29
Jan-06,1280.08
Feb-06,1280.66
Mar-06,1294.87
Apr-06,1310.61
May-06,1270.09
Jun-06,1270.2
Jul-06,1276.66
Aug-06,1303.82
Sep-06,1335.85
Oct-06,1377.94
Nov-06,1400.63
Dec-06,1418.3
Jan-07,1438.24
Feb-07,1406.82
Mar-07,1420.86
Apr-07,1482.37
May-07,1530.62
Jun-07,1503.35
Jul-07,1455.27
Aug-07,1473.99
Sep-07,1526.75
Oct-07,1549.38
Nov-07,1481.14
Dec-07,1468.36
Jan-08,1378.55
Feb-08,1330.63
Mar-08,1322.7
Apr-08,1385.59
May-08,1400.38
Jun-08,1280
Jul-08,1267.38
Aug-08,1282.83
Sep-08,1166.36
Oct-08,968.75
Nov-08,896.24
Dec-08,903.25
Jan-09,825.88
Feb-09,735.09
Mar-09,797.87
Apr-09,872.81
May-09,919.14
Jun-09,919.32
Jul-09,987.48
Aug-09,1020.62
Sep-09,1057.08
Oct-09,1036.19
Nov-09,1095.63
Dec-09,1115.1
Jan-10,1073.87
Feb-10,1104.49
Mar-10,1140.45
